Extension;Load;Strain 1
1.95;1905.65;0.831
1.97;1918.5;0.838
1.98;1930.77;0.846
2;1943.82;0.853
2.02;1956.35;0.86
2.03;1968.35;0.867
2.05;1980.55;0.874
2.07;1992.69;0.881
2.08;2005.22;0.889
2.1;2017.68;0.896
2.12;2030.25;0.904
2.13;2042.22;0.911
2.15;2054.14;0.918
2.17;2065.76;0.925
2.18;2079.06;0.933
2.2;2091.35;0.94
2.22;2102.95;0.948
2.23;2115.25;0.955
2.25;2127.8;0.963
2.27;2140.52;0.97
2.28;2152.45;0.977
2.3;2164.05;0.985
2.32;2176.25;0.992
2.33;2189.4;1
2.35;2201.25;1.007
2.37;2213.49;1.015
2.38;2226.45;1.022
2.4;2237.9;1.03
2.42;2250.73;1.037
2.43;2262.47;1.045
2.45;2274.47;1.052
2.47;2285.71;1.06
2.48;2298.82;1.067
2.5;2310.63;1.075
2.52;2323.1;1.083
2.53;2334.83;1.09
2.55;2345.96;1.098
2.57;2357.95;1.105
2.58;2370.92;1.113
2.6;2382.75;1.121
2.62;2395.1;1.129
2.63;2406.3;1.137
2.65;2418.37;1.144
2.67;2430.06;1.152
2.68;2441.39;1.16
2.7;2452.65;1.167
2.72;2465.06;1.175
2.73;2477.38;1.183
2.75;2488.84;1.191
2.77;2500.22;1.199
2.78;2511.82;1.207
2.8;2523.5;1.215
2.82;2535.22;1.222
2.83;2546.95;1.23
2.85;2559.15;1.238
2.87;2570.83;1.246
2.88;2581.23;1.254
2.9;2593.28;1.263
2.92;2605.39;1.271
2.93;2616.04;1.279
2.95;2627.15;1.286
2.97;2637.98;1.294
2.98;2649.26;1.302
3;2660.82;1.31
3.02;2671.99;1.319
3.03;2683.51;1.327
3.05;2694.6;1.336
3.07;2705.89;1.344
3.08;2716.68;1.352
3.1;2728.07;1.36
3.12;2737.67;1.368
3.13;2748.48;1.376
3.15;2759.7;1.385
3.17;2771.02;1.393
3.18;2781.74;1.402
3.2;2792.89;1.41
3.22;2803.36;1.419
3.23;2813.82;1.427
3.25;2824.2;1.435
3.27;2834.87;1.444
3.28;2846.41;1.453
3.3;2857.09;1.461
3.32;2867.06;1.47
3.33;2877.56;1.479
3.35;2887.53;1.487
3.37;2897.83;1.496
3.38;2907.45;1.505
3.4;2918.9;1.513
3.42;2929.08;1.522
3.43;2938.65;1.531
3.45;2948.07;1.54
3.47;2957.97;1.549
3.48;2968.46;1.558
3.5;2978.68;1.567
3.52;2987.44;1.576
3.53;2997.29;1.585
3.55;3007.16;1.594
3.57;3017.11;1.603
3.58;3026.64;1.612
3.6;3036.19;1.621
3.62;3044.68;1.631
3.63;3054.63;1.64
3.65;3063.96;1.649
3.67;3073.07;1.658
3.68;3081.62;1.667
3.7;3091.43;1.677
3.72;3100.33;1.687
3.73;3109.84;1.696
3.75;3118.11;1.706
3.77;3125.97;1.715
3.78;3134.82;1.724
3.8;3143.53;1.734
3.82;3151.43;1.743
3.83;3159.87;1.753
3.85;3167.65;1.763
3.87;3175.2;1.772
3.88;3183.96;1.782
3.9;3192.48;1.792
3.92;3200.52;1.802
3.93;3207.6;1.812
3.95;3215.35;1.822
3.97;3222.87;1.832
3.98;3229.97;1.842
4;3237.71;1.852
4.02;3244.86;1.862
4.03;3251.69;1.872
4.05;3258.96;1.882
4.07;3265.14;1.892
4.08;3272.76;1.902
4.1;3279.39;1.912
4.12;3286.32;1.923
4.13;3292.02;1.933
4.15;3298.97;1.944
4.17;3304.44;1.954
4.18;3310.29;1.964
4.2;3316.32;1.975
4.22;3322.42;1.985
4.23;3328.4;1.996
4.25;3334.32;2.006
4.27;3338.79;2.017
4.28;3344.29;2.028
4.3;3349.27;2.038
4.32;3354.73;2.049
4.33;3358.8;2.06
4.35;3364.44;2.071
4.37;3369;2.081
4.38;3373.55;2.092
4.4;3378.38;2.103
4.42;3382.49;2.114
4.43;3385.51;2.125
4.45;3389.79;2.136
4.47;3394.44;2.147
4.48;3398.44;2.158
4.5;3402.08;2.169
4.52;3406.05;2.181
4.53;3408.22;2.192
4.55;3411.42;2.203
4.57;3414.29;2.214
4.58;3417.39;2.225
4.6;3420.09;2.236
4.62;3422.87;2.248
4.63;3425.32;2.259
4.65;3427.33;2.27
4.67;3428.98;2.281
4.68;3430.56;2.293
4.7;3432.19;2.304
4.72;3434.19;2.315
4.73;3435.27;2.326
4.75;3436.36;2.337
4.77;3437.39;2.348
4.78;3438.75;2.36
4.8;3440.49;2.371
4.82;3440.81;2.382
4.83;3441.32;2.393
4.85;3441.46;2.404
4.87;3441.95;2.416
4.88;3442.27;2.427
4.9;3441.96;2.437
4.92;3442.17;2.449
4.93;3441.59;2.46
4.95;3441.6;2.47
4.97;3440.11;2.481
4.98;3440.09;2.492
5;3439.84;2.503
5.02;3438.64;2.514
5.03;3437.68;2.525
5.05;3436.69;2.535
5.07;3435.67;2.546
5.08;3434.05;2.557
5.1;3432.95;2.567
5.12;3430.79;2.578
5.13;3429.68;2.588
5.15;3427.27;2.598
5.17;3425.54;2.608
5.18;3423.8;2.618
5.2;3422.75;2.629
5.22;3420.77;2.639
5.23;3418.79;2.649
5.25;3415.98;2.659
5.27;3413.05;2.669
5.28;3411.16;2.678
5.3;3408.68;2.688
5.32;3405.9;2.697
5.33;3403.37;2.707
5.35;3401.01;2.716
5.37;3397.84;2.725
5.38;3394.87;2.734
5.4;3392.12;2.743
5.42;3388.67;2.752
5.43;3385.47;2.76
5.45;3382.77;2.769
5.47;3379.77;2.778
5.48;3375.95;2.786
5.5;3372.58;2.795
5.52;3369.2;2.803
5.53;3366.32;2.811
5.55;3362.18;2.819
5.57;3358.18;2.826
5.58;3354.75;2.834
5.6;3351.26;2.841
5.62;3347.9;2.849
5.63;3344.74;2.856
5.65;3341.23;2.863
5.67;3336.86;2.87
5.68;3332.91;2.877
5.7;3329.15;2.884
5.72;3325.11;2.89
5.73;3321.2;2.896
5.75;3317.73;2.903
5.77;3313.95;2.909
5.78;3309.28;2.915
5.8;3305.32;2.921
5.82;3301.79;2.927
5.83;3297;2.932
5.85;3292.46;2.937
5.87;3288.41;2.943
5.88;3284.43;2.948
5.9;3280.6;2.954
5.92;3276.3;2.959
5.93;3271.65;2.964
5.95;3266.81;2.968
5.97;3262.33;2.973
5.98;3258.05;2.977
6;3254.17;2.982
6.02;3249.35;2.986
6.03;3245.62;2.99
6.05;3241.15;2.994
6.07;3235.92;2.998
6.08;3231.82;3.001
6.1;3227.93;3.005
6.12;3223.46;3.009
6.13;3219.29;3.012
6.15;3215.05;3.015
6.17;3211.29;3.019
6.18;3206.58;3.022
6.2;3201.51;3.025
6.22;3197.09;3.028
6.23;3192.35;3.03
6.25;3187.47;3.033
6.27;3183.77;3.035
6.28;3179.79;3.038
6.3;3174.94;3.041
6.32;3170.08;3.043
6.33;3165.45;3.045
6.35;3160.73;3.047
6.37;3155.9;3.049
6.38;3151.41;3.05
6.4;3146.8;3.052
6.42;3143.34;3.054
6.43;3138.48;3.056
6.45;3133.76;3.057
6.47;3128.58;3.058
6.48;3124.14;3.059
6.5;3119.73;3.061
6.52;3115.36;3.062
6.53;3110.99;3.063
6.55;3106.98;3.064
6.57;3101.67;3.065
6.58;3097.15;3.066
6.6;3092.48;3.066
6.62;3087.83;3.067
6.63;3083.02;3.067
6.65;3078.32;3.068
6.67;3074.07;3.068
6.68;3070.12;3.069
6.7;3065.32;3.069
6.72;3060.54;3.07
6.73;3055.98;3.07
6.75;3050.86;3.07
6.77;3046.66;3.07
6.78;3042.28;3.07
6.8;3037.47;3.07
6.82;3032.82;3.069
6.83;3028.54;3.069
6.85;3023.92;3.069
6.87;3018.95;3.069
6.88;3013.79;3.068
6.9;3009.47;3.067
6.92;3005.21;3.067
6.93;3000.96;3.066
6.95;2996.87;3.066
6.97;2992.2;3.066
6.98;2987.65;3.065
7;2982.66;3.064
7.02;2977.69;3.063
7.03;2972.32;3.062
7.05;2967.3;3.061
7.07;2963.6;3.06
7.08;2959.49;3.059
7.1;2955.13;3.058
7.12;2950.22;3.058
7.13;2945.29;3.056
7.15;2940.37;3.055
7.17;2934.65;3.053
7.18;2930.57;3.052
7.2;2926.25;3.051
7.22;2922.36;3.05
7.23;2917.96;3.049
7.25;2914.1;3.047
7.27;2909.45;3.046
7.28;2904.47;3.044
7.3;2899.63;3.043
7.32;2895.63;3.041
7.33;2890.98;3.04
7.35;2886.5;3.038
7.37;2881.91;3.037
7.38;2877.45;3.035
7.4;2873.16;3.034
7.42;2868.4;3.032
7.43;2863.78;3.03
7.45;2859.03;3.029
7.47;2854.84;3.027
7.48;2850.83;3.025
7.5;2846.83;3.024
7.52;2842.25;3.022
7.53;2836.85;3.02
7.55;2832.67;3.018
7.57;2828.31;3.016
7.58;2823.93;3.014
7.6;2819.46;3.013
7.62;2815.22;3.011
7.63;2811.86;3.009
7.65;2807.31;3.007
7.67;2803.37;3.005
7.68;2798.08;3.003
7.7;2793.5;3.001
7.72;2789.28;2.999
7.73;2784.84;2.997
7.75;2781.37;2.995
7.77;2776.82;2.993
7.78;2772.8;2.991
7.8;2768.9;2.989
7.82;2764.95;2.987
7.83;2760.46;2.985
7.85;2756.21;2.983
7.87;2751.89;2.981
7.88;2747.93;2.979
7.9;2744.95;2.978
7.92;2741.43;2.976
7.93;2737.46;2.974
7.95;2732.29;2.972
7.97;2728.71;2.97
7.98;2724.4;2.967
8;2720.82;2.966
8.02;2716.97;2.964
8.03;2713.67;2.962
8.05;2709.86;2.96
8.07;2707.48;2.959
8.08;2703.37;2.957
8.1;2699.51;2.955
8.12;2695.89;2.953
8.13;2693.19;2.951
8.15;2689.18;2.949
8.17;2685.92;2.947
8.18;2682.56;2.946
8.2;2679.76;2.944
8.22;2675.99;2.942
8.23;2672.85;2.941
8.25;2669.53;2.939
8.27;2666.14;2.937
8.28;2663.72;2.936
8.3;2661.24;2.934
8.32;2658.59;2.933
8.33;2655.2;2.931
8.35;2651.64;2.929
8.37;2648.84;2.928
8.38;2646.5;2.927
8.4;2644.1;2.925
8.42;2641.35;2.924
8.43;2639.09;2.923
8.45;2636.46;2.921
8.47;2633.2;2.92
8.48;2631.12;2.918
8.5;2629.92;2.917
8.52;2627.03;2.916
8.53;2624.48;2.915
8.55;2622.31;2.913
8.57;2620.68;2.912
8.58;2618.62;2.911
8.6;2616.73;2.91
8.62;2614.92;2.909
8.63;2612.62;2.908
8.65;2610.1;2.907
8.67;2607.36;2.905
8.68;2605.23;2.904
8.7;2603.35;2.903
8.72;2602.92;2.903
8.73;2601.22;2.902
8.75;2598.75;2.901
8.77;2596.39;2.9
8.78;2594.95;2.899
8.8;2592.86;2.898
8.82;2590.68;2.897
8.83;2589.28;2.896
8.85;2587.96;2.895
8.87;2586.47;2.895
8.88;2585.37;2.894
8.9;2583.22;2.893
8.92;2582.8;2.893
8.93;2580.51;2.892
8.95;2579.09;2.891
8.97;2577.82;2.89
8.98;2576.63;2.889
9;2575.44;2.889
9.02;2573.98;2.888
9.03;2572.51;2.888
9.05;2571.43;2.887
9.07;2569.8;2.886
9.08;2568.18;2.885
9.1;2567.06;2.885
9.12;2567.02;2.884
9.13;2565.74;2.884
9.15;2564.48;2.883
9.17;2562.65;2.883
9.18;2561.49;2.882
9.2;2560.13;2.881
9.22;2558.99;2.881
9.23;2557.99;2.881
9.25;2557.66;2.88
9.27;2556.83;2.88
9.28;2555.58;2.879
9.3;2554.82;2.879
9.32;2553.89;2.879
9.33;2551.98;2.878
9.35;2551.24;2.877
9.37;2550.95;2.877
9.38;2550.62;2.877
9.4;2549.83;2.877
9.42;2549.84;2.877
9.43;2548.44;2.876
9.45;2547.38;2.876
9.47;2546.4;2.875
9.48;2545.26;2.875
9.5;2543.91;2.874
9.52;2544.07;2.874
9.53;2543.16;2.874
9.55;2542.8;2.874
9.57;2542.32;2.873
9.58;2541.36;2.873
9.6;2540.21;2.873
9.62;2539.23;2.873
9.63;2538.1;2.872
9.65;2537.06;2.872
9.67;2537.62;2.872
9.68;2537.28;2.872
9.7;2536.57;2.871
9.72;2536.05;2.871
9.73;2535.7;2.871
9.75;2534.03;2.871
9.77;2532.79;2.87
9.78;2533.08;2.87
9.8;2533.11;2.87
9.82;2534.01;2.87
9.83;2532.84;2.87
9.85;2532.06;2.87
9.87;2530.78;2.87
9.88;2530.07;2.869
9.9;2529.58;2.869
9.92;2529.38;2.869
9.93;2529.48;2.869
9.95;2529.23;2.869
9.97;2528.01;2.869
9.98;2526.79;2.868
10;2526.2;2.868
10.02;2525.44;2.868
10.03;2525.19;2.868
10.05;2524.81;2.868
10.07;2524.72;2.868
10.08;2524.96;2.868
10.1;2524.75;2.868
10.12;2523.81;2.868
10.13;2523.5;2.868
10.15;2522.2;2.867
10.17;2521.91;2.867
10.18;2521.56;2.867
10.2;2521.5;2.867
10.22;2521.94;2.867
10.23;2522.18;2.867
10.25;2521.21;2.867
10.27;2521.07;2.867
10.28;2519.36;2.866
10.3;2519.21;2.866
10.32;2519.07;2.866
10.33;2518.56;2.866
10.35;2518.45;2.866
10.37;2517.64;2.866
10.38;2516.86;2.866
10.4;2516.4;2.866
10.42;2515.91;2.866
10.43;2516.12;2.866
10.45;2516.03;2.866
10.47;2515.92;2.866
10.48;2515.52;2.866
10.5;2515.75;2.866
10.52;2515.07;2.866
10.53;2514.8;2.866
10.55;2514.8;2.866
10.57;2514.1;2.866
10.58;2513.77;2.866
10.6;2514.06;2.866
10.62;2513.62;2.866
10.63;2513.88;2.866
10.65;2513.24;2.866
10.67;2512.49;2.866
10.68;2512.35;2.866
10.7;2512.76;2.866
10.72;2511.6;2.866
10.73;2511.87;2.866
10.75;2512.29;2.867
10.77;2512.46;2.867
10.78;2512.4;2.867
10.8;2510.85;2.867
10.82;2510.53;2.867
10.83;2510.42;2.867
10.85;2509.97;2.867
10.87;2510.65;2.867
10.88;2510.96;2.867
10.9;2511.47;2.868
10.92;2510.82;2.868
10.93;2510.57;2.868
10.95;2510.08;2.867
10.97;2509.91;2.868
10.98;2510.18;2.868
11;2510.38;2.868
11.02;2511.64;2.869
11.03;2513.01;2.869
11.05;2512.69;2.87
11.07;2511.86;2.869
11.08;2511.68;2.869
11.1;2511.67;2.87
11.12;2512.41;2.87
11.13;2513.04;2.871
11.15;2513.26;2.871
11.17;2513.32;2.871
11.18;2513.76;2.872
11.2;2513.56;2.872
11.22;2512.99;2.872
11.23;2513.12;2.872
11.25;2513.71;2.872
11.27;2512.99;2.873
11.28;2512.78;2.873
11.3;2513.65;2.873
11.32;2514.16;2.874
11.33;2514.3;2.874
11.35;2514.47;2.874
11.37;2513.67;2.874
11.38;2514.14;2.874
11.4;2515.04;2.875
11.42;2515.29;2.875
11.43;2515.29;2.875
11.45;2515.85;2.875
11.47;2515.94;2.876
11.48;2515.49;2.876
11.5;2515.44;2.876
11.52;2515.81;2.876
11.53;2515.77;2.877
11.55;2516.47;2.877
11.57;2516.84;2.878
11.58;2516.54;2.878
11.6;2516.89;2.878
11.62;2516.95;2.878
11.63;2517.45;2.879
11.65;2517;2.879
11.67;2516.58;2.879
11.68;2516.8;2.879
11.7;2517.48;2.879
11.72;2517.77;2.88
11.73;2518.21;2.88
11.75;2517.97;2.881
11.77;2517.82;2.881
11.78;2517.62;2.881
11.8;2517.25;2.881
11.82;2518.23;2.881
11.83;2518.6;2.882
11.85;2518.98;2.882
11.87;2518.44;2.882
11.88;2517.91;2.882
11.9;2517.6;2.882
11.92;2518.26;2.881
11.93;2517.54;2.881
11.95;2518.1;2.881
11.97;2517.33;2.881
11.98;2517.73;2.882
12;2517.06;2.882
12.02;2516.3;2.881
12.03;2516.26;2.882
12.05;2515.22;2.882
12.07;2515.42;2.882
12.08;2515.29;2.882
12.1;2515.41;2.882
12.12;2515.2;2.882
12.13;2515.22;2.882
12.15;2514.88;2.882
12.17;2515.06;2.882
12.18;2514.49;2.882
12.2;2514.86;2.883
12.22;2514.37;2.883
12.23;2514.66;2.883
12.25;2514.51;2.883
12.27;2514.22;2.883
12.28;2514.29;2.883
12.3;2514.02;2.883
12.32;2513.44;2.883
12.33;2514.16;2.883
12.35;2513.63;2.884
12.37;2513.28;2.884
12.38;2513.39;2.884
12.4;2514.54;2.884
12.42;2513.81;2.885
12.43;2514.14;2.885
12.45;2513.03;2.885
12.47;2512.82;2.885
12.48;2512.75;2.885
12.5;2513.15;2.885
12.52;2513.32;2.885
12.53;2513.44;2.886
12.55;2513.38;2.886
12.57;2513.25;2.886
12.58;2512.58;2.886
12.6;2512.1;2.886
12.62;2512.9;2.886
12.63;2513.16;2.887
12.65;2513.88;2.887
12.67;2513.46;2.887
12.68;2513.77;2.887
12.7;2513.82;2.887
12.72;2513.24;2.887
12.73;2512.98;2.887
12.75;2512.51;2.888
12.77;2513.25;2.888
12.78;2512.94;2.888
12.8;2513.65;2.888
12.82;2513.3;2.888
12.83;2512.92;2.889
12.85;2513.04;2.889
12.87;2513;2.889
12.88;2512.69;2.889
12.9;2512.1;2.889
12.92;2512.5;2.889
12.93;2512.92;2.89
12.95;2512.59;2.89
12.97;2512.57;2.89
12.98;2511.6;2.889
13;2511.21;2.89
13.02;2511.51;2.89
13.03;2511.86;2.89
13.05;2512.06;2.891
13.07;2512.8;2.891
13.08;2512.56;2.891
13.1;2512.17;2.891
13.12;2511.79;2.891
13.13;2511.77;2.891
13.15;2510.76;2.891
13.17;2510.97;2.891
13.18;2511.17;2.891
13.2;2511.43;2.891
13.22;2511.78;2.892
13.23;2511.48;2.892
13.25;2511.13;2.892
13.27;2511.19;2.892
13.28;2510.25;2.892
13.3;2511.1;2.892
13.32;2510.61;2.892
13.33;2510.5;2.892
13.35;2510.52;2.892
13.37;2510.11;2.892
13.38;2509.56;2.892
13.4;2509.52;2.892
13.42;2509.26;2.892
13.43;2508.96;2.892
13.45;2509.45;2.893
13.47;2509.7;2.893
13.48;2509.93;2.893
13.5;2509.79;2.893
13.52;2509.37;2.893
13.53;2508.86;2.893
13.55;2508.21;2.893
13.57;2507.55;2.893
13.58;2508.46;2.893
13.6;2509.21;2.893
13.62;2508.4;2.894
13.63;2509.03;2.894
13.65;2508.7;2.894
13.67;2507.09;2.894
13.68;2506.51;2.893
13.7;2506.43;2.893
13.72;2507.36;2.894
13.73;2508.34;2.894
13.75;2507.58;2.895
13.77;2507.65;2.895
13.78;2506.88;2.895
13.8;2506.57;2.894
13.82;2506.7;2.895
13.83;2506.32;2.895
13.85;2507.21;2.895
13.87;2506.65;2.895
13.88;2507.48;2.895
13.9;2506.37;2.895
13.92;2506.67;2.895
13.93;2506.76;2.896
13.95;2506.26;2.896
13.97;2506.17;2.896
13.98;2506.83;2.896
14;2506.67;2.896
14.02;2506.46;2.896
14.03;2505.94;2.896
14.05;2505.89;2.896
14.07;2505.5;2.896
14.08;2504.83;2.896
14.1;2504.84;2.897
14.12;2504.89;2.897
14.13;2505.38;2.897
14.15;2505.2;2.897
14.17;2505.44;2.897
14.18;2505.28;2.897
14.2;2504.5;2.897
14.22;2504.55;2.897
14.23;2504.31;2.897
14.25;2504.31;2.898
14.27;2504.41;2.898
14.28;2504.78;2.898
14.3;2503.65;2.898
14.32;2503.5;2.898
14.33;2503.66;2.898
14.35;2503.49;2.898
14.37;2503.14;2.898
14.38;2503.05;2.898
14.4;2503.55;2.898
14.42;2503.05;2.898
14.43;2502.53;2.899
14.45;2502.76;2.899
14.47;2502.77;2.899
14.48;2501.33;2.898
14.5;2501.46;2.898
14.52;2501.5;2.898
14.53;2501.83;2.899
14.55;2501.5;2.899
14.57;2501.24;2.899
14.58;2501.34;2.899
14.6;2501.08;2.899
14.62;2500.1;2.899
14.63;2501;2.899
14.65;2500.31;2.899
14.67;2500.19;2.899
14.68;2500.92;2.9
14.7;2500.75;2.9
14.72;2500.37;2.9
14.73;2500.25;2.9
14.75;2500.16;2.9
14.77;2500.24;2.9
14.78;2500.54;2.9
14.8;2500.53;2.9
14.82;2500.46;2.901
14.83;2500.34;2.901
14.85;2500.02;2.901
14.87;2500.07;2.901
14.88;2499.5;2.901
14.9;2498.9;2.901
14.92;2499.32;2.901
14.93;2499.53;2.901
14.95;2500.45;2.901
14.97;2499.81;2.901
14.98;2499.11;2.901
15;2498.3;2.901
15.02;2498.54;2.901
15.03;2499.49;2.901
15.05;2498.85;2.901
15.07;2499.19;2.901
15.08;2499.15;2.902
15.1;2499.65;2.902
15.12;2499.38;2.902
15.13;2499.16;2.902
15.15;2498.79;2.902
15.17;2498.72;2.902
15.18;2498.06;2.902
15.2;2497.54;2.902
15.22;2498.01;2.902
15.23;2498.49;2.903
15.25;2498.34;2.903
15.27;2498.19;2.903
15.28;2497.65;2.903
15.3;2497.48;2.903
15.32;2497.09;2.903
15.33;2496.8;2.903
15.35;2496.87;2.903
15.37;2497.56;2.904
15.38;2497.57;2.904
15.4;2497.56;2.904
15.42;2497.32;2.904
15.43;2497.71;2.904
15.45;2497.31;2.904
15.47;2497.31;2.904
15.48;2497.3;2.904
15.5;2497.38;2.904
15.52;2497.4;2.904
15.53;2497.1;2.904
15.55;2496.8;2.904
15.57;2496.59;2.904
15.58;2495.91;2.904
15.6;2495.72;2.904
15.62;2495.63;2.904
15.63;2495.48;2.905
15.65;2496.01;2.905
15.67;2495.99;2.905
15.68;2495.7;2.905
15.7;2495.06;2.905
15.72;2494.29;2.905
15.73;2494.4;2.905
15.75;2493.87;2.905
15.77;2494.73;2.905
15.78;2494.4;2.905
15.8;2493.95;2.905
15.82;2494.03;2.905
15.83;2494.02;2.905
15.85;2493.9;2.906
15.87;2493.54;2.906
15.88;2494.05;2.906
15.9;2494.27;2.906
15.92;2494.53;2.907
15.93;2494.01;2.906
15.95;2494.45;2.907
15.97;2493.56;2.907
15.98;2493.68;2.906
16;2493.57;2.907
16.02;2493.18;2.907
16.03;2493.32;2.907
16.05;2493.88;2.907
16.07;2493.4;2.907
16.08;2493.51;2.907
16.1;2493.02;2.907
16.12;2492.91;2.907
16.13;2492.29;2.907
16.15;2492.2;2.907
16.17;2491.8;2.907
16.18;2492.17;2.908
16.2;2492.86;2.908
16.22;2492.83;2.908
16.23;2492.88;2.908
16.25;2493.83;2.909
16.27;2492.83;2.909
16.28;2491.7;2.908
16.3;2491.64;2.908
16.32;2492.46;2.909
16.33;2492.74;2.909
16.35;2492.85;2.909
16.37;2492.09;2.909
16.38;2492.25;2.909
16.4;2492.14;2.909
16.42;2492.5;2.91
16.43;2492.11;2.91
16.45;2492.75;2.91
16.47;2492.23;2.91
16.48;2492.2;2.91
16.5;2492.18;2.91
16.52;2491.49;2.91
16.53;2491.64;2.91
16.55;2491.51;2.91
16.57;2492;2.91
16.58;2491.92;2.911
16.6;2491.78;2.911
16.62;2491.72;2.911
16.63;2491.99;2.911
16.65;2492.34;2.911
16.67;2491.62;2.911
16.68;2491.8;2.911
16.7;2491.68;2.911
16.72;2492.11;2.912
16.73;2493.38;2.912
16.75;2492.83;2.912
16.77;2493.41;2.912
16.78;2493.06;2.912
16.8;2492.99;2.912
16.82;2491.68;2.912
16.83;2492.66;2.913
16.85;2492.42;2.913
16.87;2493.15;2.913
16.88;2492.63;2.913
16.9;2492.84;2.913
16.92;2492.16;2.913
16.93;2492.17;2.913
16.95;2492.52;2.914
16.97;2492.18;2.914
16.98;2492.59;2.914
17;2492.83;2.914
17.02;2493.02;2.914
17.03;2493.19;2.914
17.05;2492.28;2.914
17.07;2492.26;2.915
17.08;2492.07;2.915
17.1;2492.21;2.915
17.12;2491.74;2.915
17.13;2492.45;2.915
17.15;2492.89;2.916
17.17;2493.35;2.916
17.18;2492.5;2.916
17.2;2492.94;2.916
17.22;2492.59;2.916
17.23;2493.15;2.916
17.25;2493.22;2.916
17.27;2493.33;2.917
17.28;2492.67;2.917
17.3;2492.92;2.917
17.32;2492.4;2.917
17.33;2492.18;2.917
17.35;2490.82;2.917
17.37;2491.76;2.917
17.38;2491.56;2.917
17.4;2492.44;2.918
17.42;2492.33;2.918
17.43;2491.98;2.918
17.45;2491.49;2.918
17.47;2490.7;2.917
17.48;2490.67;2.917
17.5;2491.4;2.918
17.52;2490.91;2.918
17.53;2491.35;2.918
17.55;2491.27;2.918
17.57;2491.4;2.918
17.58;2490.96;2.918
17.6;2490.76;2.918
17.62;2489.72;2.918
17.63;2490.03;2.918
17.65;2490.37;2.918
17.67;2489.59;2.918
17.68;2489.62;2.918
17.7;2489.37;2.918
17.72;2489.31;2.918
17.73;2488.85;2.918
17.75;2487.98;2.918
17.77;2487.79;2.918
17.78;2487.51;2.918
17.8;2487.25;2.918
17.82;2487.25;2.918
17.83;2487.2;2.918
17.85;2487.83;2.919
17.87;2487.08;2.918
17.88;2486.64;2.918
17.9;2486.82;2.919
17.92;2487.2;2.919
17.93;2487.03;2.919
17.95;2486.92;2.919
17.97;2486.56;2.919
17.98;2486.66;2.919
18;2486.43;2.919
18.02;2485.91;2.919
